Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
...and the we held hands,-,-,i2,,,,Two Player,,,https://boardgamegeek.com/boardgame/153999/and-then-we-held-hands
(May Cause) Side Effects,,Window left of library,-,,,,Party,,,https://boardgamegeek.com/boardgame/282587/may-cause-side-effects
#Artbox,HA,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/280304/artbox
10 Days In Europe,DA,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/5867/10-days-europe
1313 Dead End Drive,Overflow,Overflow,Overflow,,,,Family,,,https://boardgamegeek.com/boardgame/4953/1313-dead-end-drive
17: Diciassette ,-,-,Loft SG - 84,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/374062/17-diciassette
24 Countdown Game,,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/27335/24-countdown-game
3 Wishes,,-,Loft SG - 80,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/198836/3-wishes
3000 Scoundrels,,-,Top Shelf,,,,Strategy,,,https://boardgamegeek.com/boardgame/367525/3000-scoundrels
4000 A.D.,,Overflow,Overflow,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/1435/4000-d
5 Minute Chase,Overflow,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/249039/5-minute-chase
5 Minute Dungeon,AC,1F,H3,,,Y,Cooperative,,,https://boardgamegeek.com/boardgame/207830/5-minute-dungeon
5 Minute Marvel,AC,-,-,,,,Cooperative,,,https://boardgamegeek.com/boardgame/253618/5-minute-marvel
5 Second Rule,HA,9F,B4,,,Y,Party,,,https://boardgamegeek.com/boardgame/86073/5-second-rule
5 Second Rule: Uncensored,LB,13E,-,,,Y,Adult,,,https://boardgamegeek.com/boardgame/86073/5-second-rule
5 Towers,,-,Y,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/400205/5-towers
6 nimmt!,,Lvl1 SG - 50,Loft SG - 80,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/432/6-nimmt
7 Wonders,CA,8F,S4,(En/Fr),,Y,Strategy,,,https://boardgamegeek.com/boardgame/68448/7-wonders
7 Wonders Duel,AA,2F,i3,(En/Fr),Y,Y,Two Player,,,https://boardgamegeek.com/boardgame/173346/7-wonders-duel
7 Wonders: Architects,,5F,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/346703/7-wonders-architects
8 ½,,-,Loft SG - 80,,,,Family,,,https://boardgamegeek.com/boardgame/13114/8-12
8 Bit Attack,DA,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/287839/8-bit-attack
"90's Game, The",-,-,A5,,,,Trivia,,,https://boardgamegeek.com/boardgame/8221/90s-game
