Games,Category,Hidden
007 Nightfire,Gamecube,
Army Men: Sarge’s War,Gamecube,
Dave Mira’s Freestyle BMX 2,Gamecube,
Def Jam Vendetta,Gamecube,
Dragon ball Z Sagas,Gamecube,
DragonballZ Budokai,Gamecube,
DragonballZ Budokai 2,Gamecube,
F-ZeroGX,Gamecube,
Fantastic 4,Gamecube,
Fifa Soccer 2005,Gamecube,
Freedom Fighters,Gamecube,
Goldeneye: Rogue Agent,Gamecube,
Legends of Wrestling 2,Gamecube,
Lego Star Wars,Gamecube,
Lego Star Wars 2: The Complete Trilogy,Gamecube,
Mario Golf: Toadstool Tour,Gamecube,
Mario Party 4,Gamecube,
Mario Party 5,Gamecube,
Mario Party 7,Gamecube,
Mario Superstar Baseball,Gamecube,
Mariokart Double Dash,Gamecube,
Mega Man Anniversary Collection,Gamecube,
"Monsters, Inc. Scream Arena",Gamecube,
Naruto Clash of Ninja 2,Gamecube,
NBA Street 2,Gamecube,
OUT FOR REPAIR – Simpsons Hit and Run,Gamecube,
Pokemon Colesseum,Gamecube,
Rampage Total Destruction,Gamecube,
Shrek Superslam,Gamecube,
SONIC Mega Collection,Gamecube,
Soul Calibur II,Gamecube,
"Spongebob Squarepants Lights, Camera, Pants!",Gamecube,
SSX On Tour,Gamecube,
Starfox Assault,Gamecube,
Starsky & Hutch,Gamecube,
Street Hoops,Gamecube,
Super Mario Sunshine,Gamecube,
Super Monkey Ball 2,Gamecube,
Super Smash Bros. Melee,Gamecube,
Swingerz Golf,Gamecube,
Tonky Hawk’s Pro Skater 3,Gamecube,
Tony Hawk’s Underground 2,Gamecube,
Viewtiful Joe Red Hot Rumble,Gamecube,
Waverace: Blue Storm,Gamecube,
WORMS: 3D,Gamecube,
Wrestlemania X8,Gamecube,
Crazy Taxi,Gamecube / PS2,
NBA Street,Gamecube / PS2,
Need for Speed Most Wanted,Gamecube / PS2,
Simpsons Road Rage,Gamecube / PS2,
Tony Hawk’s Pro Skater 4,Gamecube / PS2,
Tony Hawk’s Underground,Gamecube / PS2,
FIFA Street,Gamecube / PS3 / Xbox360,
1080 Snowboarding,N64,X
Conker’s Bad Fur Day,N64,
Cruisin World,N64,
Cruisin’ USA,N64,
Daikitana,N64,
Diddy Kong Racing,N64,
Donkey Kong 64,N64,X
Forsaken 64,N64,
Fox Sports College Hoops 99,N64,
Gauntlet Legends,N64,
Goldeneye 007,N64,
Jet Force Gemini,N64,
Mario Golf,N64,
Mario Kart 64,N64,
Mario Party,N64,
Mario Party 2,N64,
Mario Party 3,N64,
Mario Tennis,N64,
NHL 99,N64,X
NHL Breakaway 99,N64,
Perfect Dark,N64,
Pokemon Snap,N64,
Pokemon Stadium,N64,
Quake II,N64,
Ready 2 Rumble Boxing,N64,
Rush,N64,
Star Wars Episode I Pod Racer,N64,
Starfox 64,N64,
Strike Zone,N64,
Super Smash Bros.,N64,
The World is Not Enough 007,N64,
Tony Hawks Pro Skater,N64,
Top Gear Overdrive,N64,
Vigilante 8 2nd Offence,N64,X
Wave Race 64,N64,
WCW vs NWO World Tour,N64,
WWF War Zone,N64 / PS1,
Balloon Fight,NES Mini,
Bubble Bobble,NES Mini,
Castlevania ,NES Mini,
Castlevania 2 Simon’s Quest,NES Mini,
Donkey Kong,NES Mini,
Donkey Kong Jr.,NES Mini,
Double Dragon II,NES Mini,
Dr. Mario,NES Mini,
Excitebike,NES Mini,
Final Fantasy,NES Mini,
Galaga,NES Mini,
Ghosts N’ Goblins,NES Mini,
Gradius,NES Mini,
Kid Icarus,NES Mini,
Kirby’s Adventure,NES Mini,
Mario Bros.,NES Mini,
Mega Man 2,NES Mini,
Metroid,NES Mini,
Ninja Gaiden,NES Mini,
Pac Man,NES Mini,
Punch Out,NES Mini,
Star Tropics,NES Mini,
Super Mario Bros.,NES Mini,
Super Mario Bros. 2,NES Mini,
Super Mario Bros. 3,NES Mini,
Tecmo Super Bowl,NES Mini,
The Legend of Zelda,NES Mini,
Zelda II: The Adventure of Link,NES Mini,
Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft,PS1,
Air Combat,PS1,
Army Men 3D,PS1,
Army Men Sarge’s Heroes,PS1,
Asteroids,PS1,
Bio Freaks,PS1,
Command & Conquer Red Alert Retaliation,PS1,
Cool Boarders 3,PS1,
Crash Bandicoot,PS1,
CTR (Crash Team Racing),PS1,
Destruction Derby,PS1,
DOOM,PS1,
Dragon Ball Z Ultimate Battle 22,PS1,
Duke Nukem Land of the Babes,PS1,
Duke Nukem Time To Kill,PS1,
Gran Turismo,PS1,
Gran Turismo 2,PS1,
Grand Theft Auto,PS1,
Jet Moto,PS1,
Jet Moto 2,PS1,
King of Fighters 99,PS1,
Knockout Kings,PS1,
Marvel vs. Capcom,PS1,
Metal Gear Solid,PS1,
N2O Nitrous Oxide,PS1,
Namco Tekken 2,PS1,
Need for Speed III: Hot Pursuit,PS1,
Pong: Next Level,PS1,
Resident Evil 2,PS1,
Ridge Racer Revolution,PS1,
Siphon Filter 2,PS1,
Starwinder,PS1,
Test Drive 5,PS1,
Tony Hawk’s Pro Skater 3,PS1,
Twisted Metal 2,PS1,
Vigilante 8 2nd offence,PS1,
X-Men Mutant Academy,PS1,
Ace Combat 04,PS2,
Armored Core 3,PS2,
Army Men – Air Attack 2,PS2,
Art of Fighting Anthology,PS2,
Atari Anthology,PS2,
ATV Offroad Fury 3,PS2,
Backyard Wrestling 2: There Goes the Neighborhood,PS2,
Backyard Wrestling: Don’t Try This At Home,PS2,
Battle Racing Ignited Burnout Revenge,PS2,
Blitz The League,PS2,
Brothers in Arms: Earned in Blood,PS2,
Brothers in Arms: Road to Hill 30,PS2,
Burnout 3 Takedown,PS2,
Def Jam Fight for NY,PS2,
Dragonball Z Budokai,PS2,
Dragonball Z Budokai Tenkaichi 3,PS2,
Dynasty Warriors 5,PS2,
Fatal Fury Battle Archives Volume 1,PS2,
Fatal Fury Battle Archives Volume 2,PS2,
Flatout2,PS2,
Gran Turismo 4,PS2,
Gran Turiso 3 A-Spec,PS2,
Grand Theft Auto III,PS2,
Hot Shots Golf Fore!,PS2,
Hot Shots Tennis,PS2,
Juiced,PS2,
Katamari Damacy,PS2,
Killzone,PS2,
Lord of the Rings Return of the King,PS2,
Lord of the Rings The Two Towers,PS2,
Midnight Club 3 DUB edition remix,PS2,
Midway Arcade Treasures 3,PS2,
Mortal Kombat Armageddon,PS2,
Mortal Kombat Deadly Alliance,PS2,
Motorcross Mania 3,PS2,
Namco Museum 50th Anniversary,PS2,
Naruto: Ultimate Ninja,PS2,
Naruto: Ultimate Ninja 3,PS2,
Ratchet: Deadlocked,PS2,
Robot Alchemic Drive,PS2,
Samaurai Warriors,PS2,
Samaurai Warriors 2 Empires,PS2,
SSX Tricky,PS2,
Star Trek Encounters,PS2,
Star Wars Racer Revenge,PS2,
Street Fighter Alpha Anthology,PS2,
Super Bust-A-Move 2,PS2,
Tekken 4,PS2,
Tekken 5,PS2,
The Sims 2,PS2,
The Urbz: Sims in the City,PS2,
Tom Clancy’s Ghost Recon,PS2,
Tony Hawk’s Project 8,PS2,
Twisted Metal Black,PS2,
UFC Sudden Impact,PS2,
Ultimate Ninja 4: Naruto Shippuden,PS2,
Virtua Fighter 4,PS2,
We ♥ Katamari,PS2,
Star Wars Battlefront,PS2 / PS4,
Marvel Ultimate Alliance,PS2 / Wii,
Metal Slug Anthology,PS2 / Wii,
WW Smackdown Vs. Raw 2007,PS2 / Xbox360,
Alice Madness Returns,PS3,
Aliens Colonial Marines,PS3,
Army of Two The Devil’s Cartel,PS3,
Assassin’s Creed II,PS3,
Assassin’s Creed Revelations,PS3,
Batman Arkham City,PS3,
BlazBlue: Calamity Trigger,PS3,
